tool,tool_accuracy,total_requests,min,max
prediction-request-reasoning-claude,63.5329179084259,3691,2026-02-01 00:06:45,2026-03-17 00:04:25
prediction-offline,62.469560234923364,6981,2026-02-01 00:11:05,2026-03-16 18:30:40
superforcaster,57.83980783566637,36219,2026-02-01 00:05:40,2026-03-17 01:13:55
prediction-request-reasoning,56.24659486190855,23861,2026-02-01 00:02:10,2026-03-17 01:00:35
claude-prediction-offline,52.883992222942325,4629,2026-02-01 00:09:15,2026-03-16 16:48:35
prediction-online,43.992507358843994,3737,2026-02-01 00:08:35,2026-03-17 00:42:25
prediction-request-rag,43.153219837157664,4053,2026-02-01 00:04:10,2026-03-17 00:37:05
prediction-online-sme,32.3719165085389,2635,2026-02-01 00:43:30,2026-03-15 16:11:15
prediction-request-rag-claude,29.276018099547514,2210,2026-02-01 00:15:20,2026-03-14 09:07:15
claude-prediction-online,27.296463327794925,4213,2026-02-01 00:08:25,2026-03-16 07:57:10
